0: BVirus: Received and installing trickle capsule 193, version 1 @ 0:1:55.79123350
238: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:13.26610475
239: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:13.72866700
219: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:13.72866700
217: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:13.72866700
199: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:13.72866700
257: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:13.74456025
218: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:13.78269875
179: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:13.81324175
139: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:13.81502300
376: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:13.92488425
396: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:13.92488425
339: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:13.92488425
357: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:13.92488425
358: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:13.92488425
337: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:13.92488425
338: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:13.92488425
317: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:13.92488425
318: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:13.92488425
297: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:13.92488425
59: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:14.15539725
19: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:14.17333000
319: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:14.96829625
299: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:14.96829625
278: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:14.96829625
279: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:14.96829625
259: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:14.96829625
377: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:14.97357275
379: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:14.97357275
378: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:14.97357275
359: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:14.97357275
398: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:14.97357275
397: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:14.98579875
399: BVirus: Received and installing trickle capsule 193, version 1 @ 0:2:16.85036975
Exiting on SIGINT at 0:5:20.33543575.
